species,lon,lat
Cereus_jamacaru,-39.052139,-7.834861
Cereus_jamacaru,-41.750283,-3.066111
Cereus_jamacaru,-41.713889,-4.099722
Cereus_jamacaru,-41.5574989318848,-3.47194004058838
Cereus_jamacaru,-41.4668998718262,-7.07694005966187
Cereus_jamacaru,-41.406667,-3.385556
Cereus_jamacaru,-42.637222,-5.539722
Cereus_jamacaru,-41.804333,-2.843361
Cereus_jamacaru,-40.1236000061035,-6.57360982894897
Cereus_jamacaru,-42.8367004394531,-5.09417009353638
Cereus_jamacaru,-41.8669013977051,-3.17499995231628
Cereus_jamacaru,-40.6371994018555,-7.33194017410278
Cereus_jamacaru,-42.1685981750488,-4.82777976989746
Cereus_jamacaru,-41.5525016784668,-5.32221984863281
Cereus_jamacaru,-41.3431015014648,-6.81666994094849
Cereus_jamacaru,-41.4752998352051,-6.87166976928711
Cereus_jamacaru,-36.6389007568359,-6.43556022644043
Cereus_jamacaru,-43.197222,-22.123611
Cereus_jamacaru,-43.901111,-16.664722
Cereus_jamacaru,-41.7811012268066,-4.13166999816895
Cereus_jamacaru,-38.457778,-6.984167
Cereus_jamacaru,-36.898222,-7.470556
Cereus_jamacaru,-35.585278,-6.892222
Cereus_jamacaru,-35.75,-6.990556
Cereus_jamacaru,-36.000015,-6.660034
Cereus_jamacaru,-35.7900009155273,-6.64167022705078
Cereus_jamacaru,-38.228099822998,-6.7591700553894
Cereus_jamacaru,-35.695833,-8.494444
Cereus_jamacaru,-36.879167,-8.575
Cereus_jamacaru,-34.950278,-8.012778
Cereus_jamacaru,-38.570833,-8.6
Cereus_jamacaru,-38.9455986022949,-7.31333017349243
Cereus_jamacaru,-37.94580078125,-7.01444005966187
Cereus_jamacaru,-38.5018997192383,-7.12056016921997
Cereus_jamacaru,-35.3266983032227,-7.65693998336792
Cereus_jamacaru,-36.3711013793945,-8.14583015441895
Cereus_jamacaru,-37.1199989318848,-7.88944005966187
Cereus_jamacaru,-35.5872001647949,-7.79582977294922
